lag;n;FRZK_MAE;FRZK_RMSE;FRZK_R2;FRZK_corr;ratings_MAE;ratings_RMSE;ratings_R2;ratings_corr;baseline_MAE;baseline_RMSE;baseline_R2;baseline_corr
1;245;0.17086061307705272;0.21095032430833072;-0.2654477746442634;-0.01929375372565451;0.2760086639931061;0.3253923857183091;-2.0109157525598693;0.3465470121982939;0.1518634635239606;0.1903257672938225;-0.030099106041824752;
2;219;0.18876229197165667;0.23090848752091958;-0.5477269996168415;0.1434402672322274;0.2611912216353645;0.3269940572763116;-2.103803978541242;0.2742814495936701;0.149973075704783;0.18809215375338245;-0.026965666061780746;
3;195;0.17773557958540676;0.2139959709630681;-0.2633471792829334;-0.09436363098892385;0.2642271410906227;0.32549587925905366;-1.9228229669601347;0.15878571648618628;0.15214864810895004;0.1923681948099565;-0.020887910310289026;
