datum,gruppe_id,teilnehmer_id,has_epistemic_transition,transition_count,transition_names,d_semantisch,d_semantisch_mean,semantische_breite,dominanz_breite,dominante_dimension,polaritaet_gesamt,token_anzahl,mean_kognition,x_kognition,var_kognition,mean_sozial,x_sozial,var_sozial,mean_affektiv,x_affektiv,var_affektiv,mean_motivation,x_motivation,var_motivation,mean_methodik,x_methodik,var_methodik,mean_performanz,x_performanz,var_performanz,mean_regulation,x_regulation,var_regulation,emo_Interesse,emo_Überraschung,emo_Erwartung,emo_Erleichterung
2025-09-08,2,12,0,0,,5.8158439142778,3.8679623187760597,0.20013180466810498,2,performanz,1,51,0.53755054528027,0.42008698882792,0.003532687402265483,0.11189025316379679,0.15760799467556,0.008100432101060314,0.217988752583757,0.31722483974693,0.009453461359003254,0.35772604850251194,0.41318736762473,0.0010614668322540322,0.420790908947908,0.42156438098408,0.0016852454033915512,0.44652176693077,0.4219932582876,0.003392166005379433,0.32638667110672803,0.41416538470409,0.012827280136358466,0,0,0,0
2025-09-08,2,16,1,1,Interesse,5.8130762819462,3.8657185728282246,0.24092027882244033,3,methodik,1,46,0.49188389727464,0.42252521447642,0.011513987161278789,0.15333254098600352,0.22027891884618,0.013950960047252992,0.141250285723174,0.28118579875139,0.017511185584387433,0.3690423372703925,0.40947198078952,0.006010062868058327,0.45026204084418,0.4234167108922,0.0014175946857976798,0.42913926739266,0.41978074314843,0.0018713651139613202,0.36530979621347254,0.41317775918026,0.005767425287145847,1,0,0,0
2025-09-08,2,20,1,1,Interesse,5.9301848883586,3.8023831622579003,0.2583296153563571,3,regulation,1,51,0.5320080773069661,0.40227157371145,0.004631582544734507,0.1551809495430666,0.26480954820107,0.016519699170079755,0.20902246131950802,0.32591134449789,0.01198438820953893,0.34973749840019797,0.40835830453926,0.004658539145862948,0.4409568892422421,0.40211216528518,0.004639141811953403,0.413121251401628,0.40770503353436,0.007196947361352029,0.3082654408384146,0.40884937862184,0.017103891926641853,1,0,0,0
2025-09-08,2,21,1,1,Erleichterung,5.8433205129343,3.449797199504475,0.23475418823275873,2,performanz,1,37,0.47635842523196,0.42753983424036,0.008105413349563426,0.13605753003213775,0.16606230857039,0.010764654341679804,0.23573257471564749,0.29732544670075,0.011033114275876206,0.40523047767610754,0.41554690997134,0.0019914031138985855,0.3374153645443775,0.41374282852262,0.002557096082459818,0.5061058321779874,0.43053256586592,0.005292539156468086,0.3311824100625125,0.41473666710314,0.015365308572875588,0,0,0,1
2025-09-09,3,3,0,0,,5.7010630423058,3.54235854973935,0.1262574599651344,3,kognition,1,43,0.483526158225995,0.44610544385923,0.003545039783030016,0.0606575526526605,0.044005005883703,0.0005424964954811813,0.13035684298975525,0.21009793773487,0.0078565188628361,0.3662116962182825,0.42209090084156,0.000502076835841352,0.41889852862341503,0.43855567854728,0.0011979333594923738,0.4736300572794675,0.44135520563726,0.0004736278410255742,0.442346852687225,0.43545678495694,0.001823253019140917,0,0,0,0
2025-09-09,4,5,1,1,Interesse,5.9588374578176,3.2994347133316198,0.8051039635229088,4,kognition,1,52,0.29010198185488,0.43983382653992,0.07259389181599642,0.1265909524588966,0.21928329392209,0.02777136069961204,0.1289570597593872,0.26693753853054,0.05062490341554819,0.26531944018438003,0.40293963788752,0.1062305023138022,0.243692565463724,0.42041418428834,0.07190993157359989,0.22926548433637803,0.41850509533187,0.16802704797101786,0.22944221842422802,0.41586906985224,0.15103475429072075,1,0,0,0
2025-09-09,4,9,0,0,,5.5219744058123,3.4355471096301335,0.07843659481937033,2,performanz,1,33,0.5274029274961733,0.4417765415297,0.0026077532916671023,0.030159143586100667,0.0,0.0002519941346018386,0.17671557709968666,0.31438030228802,0.0001783636058950068,0.32500290276989,0.3840519646779,0.0013525125886837141,0.43822045992579334,0.44603023197455,0.00091823837466651,0.51375118313079,0.45366882445351,0.0002163175592736439,0.3492071850012834,0.39209770378697,0.0006271198520702567,0,0,0,0
2025-09-10,5,6,1,1,Erleichterung,5.8568731401609,3.30168919601316,0.28853632415650554,3,kognition,1,50,0.499067502360548,0.43063058320755,0.02408647253624783,0.11638207837887579,0.18320657145829,0.012550689222581382,0.233112686211296,0.33043983583963,0.006654663712474638,0.371399091846926,0.39772517045678,0.01796019158239249,0.39163430855338405,0.4285473545283,0.012079006705084787,0.44595655581357796,0.41908489708397,0.004853779513633316,0.331049501097244,0.39284660598826,0.005068407085333595,0,0,0,1
2025-09-10,5,11,0,0,,5.9366588948123,3.5177334589033,0.2204228185514541,3,kognition,1,43,0.46495964446488997,0.42059759103157,0.005976944649929847,0.18773101513887241,0.25727068936599,0.02028508109310726,0.15279951915777712,0.27595437254476,0.0134012449299274,0.40137683078182,0.40829521001925,0.002878845879646473,0.414192071077858,0.4141344872223,0.0009580803768501854,0.43575812018759397,0.41682331301567,0.0021999417728694,0.3925380980144141,0.41085429033945,0.0028860802358366905,0,0,0,0
2025-09-10,6,7,0,0,,5.7346807287108,3.6030945057142,0.7852617282314044,3,performanz,1,45,0.36401992751605594,0.43617522696862,0.09988901685904723,0.025841714391665205,0.081911181465749,0.012926571733572801,0.08066477677481801,0.25914817789479,0.03529544813691353,0.172177284510952,0.41404943120554,0.09207486020482256,0.347472272454628,0.43241518164909,0.07603652336950732,0.235189542834848,0.44543798066419,0.17921962952993195,0.19487731941453998,0.42313786011154,0.12119393199117656,0,0,0,0
