gruppe_id,n,epistemic_n,epistemic_share,mean_kognition,mean_methodik,mean_affektiv,d_semantisch_mean,semantische_breite
0,3,2,0.6666666666666666,0.4874463976325236,0.3923588946740755,0.13586638016526964,3.5460124084842364,0.41497551181768855
1,20,8,0.4,0.45660018837381244,0.3936955158275423,0.15083023570329654,3.569913397035198,0.2402551593627114
2,45,23,0.5111111111111111,0.47568062687178697,0.3961312734366254,0.17489846864119937,3.5762775686380848,0.2589531822077892
3,6,1,0.16666666666666666,0.441220066447765,0.39681280213658376,0.15998219187438004,3.3905636175491587,0.20401331463760608
4,33,22,0.6666666666666666,0.427065736460126,0.3593192456407929,0.1642981706212111,3.519730355168399,0.34315450921151464
5,34,19,0.5588235294117647,0.4790624657260692,0.39609927167610987,0.17332129791672646,3.4131186681498775,0.28027632428378135
6,34,21,0.6176470588235294,0.46658263470485306,0.38823522624018836,0.16853390886848763,3.4564200371898117,0.2917648716394704
7,29,23,0.7931034482758621,0.46374467257518387,0.38505380306768155,0.1722156377415862,3.582493133050785,0.27981663179729427
8,39,23,0.5897435897435898,0.47575997277703463,0.397397299980351,0.18000668498787106,3.5730036882804357,0.22606603872615708
9,28,9,0.32142857142857145,0.45936614746031923,0.38732738234630076,0.1635107260712744,3.408742033907383,0.25894306181348387
