emotion,n,corr_mean_kognition,corr_mean_sozial,corr_mean_affektiv,corr_mean_motivation,corr_mean_methodik,corr_mean_performanz,corr_mean_regulation,corr_d_semantisch_mean,corr_semantische_breite,corr_dominanz_breite,corr_token_anzahl
Interesse,105,-0.08673869330199675,0.03730446252382515,0.06357794556352789,0.018966985955291355,-0.14730952003339337,0.005278098368661438,-0.07368036689357835,0.03230437516710587,0.06879611143372572,0.08456897624713848,0.027809371961047488
Überraschung,31,-0.051611473836385216,0.07457741383265361,0.08941155196303757,0.011570376777481137,-0.1280703281713637,-0.008857804717994721,-0.059242177169713375,0.09772767828612579,0.04764554650852326,-0.0041610190058085405,0.02369013834967029
Erwartung,45,-0.006611107371496641,0.023973644957847484,0.049056484162478965,-0.002392031198980108,-0.07996716761208995,0.010328511113680239,-0.04766954513744595,0.0061743965244958725,0.021154201553364133,-0.0009618868039401559,0.01974190148032291
Erleichterung,72,0.049219882981760166,0.05788200108388965,0.09003070716632872,0.07364411762656259,0.012909119063850383,0.06800657341415668,0.03157513048312194,0.10285731216959572,-0.04712670524113427,-0.04521951038431611,0.039135446829015756
