id,teilnehmer_id,zeitpunkt,x_kognition,y_sozial,z_affektiv,h_bedeutung,dh_dt,cluster_id,stabilitaet_score,transitions_marker,bemerkung
34,9,2025-09-18 15:35:00,1.4,1.0,2.0,1.36364,-0.454545,1,0.831111,🌊 Transformativ,K:1.40 S:1.00 A:2.00 h:1.36 Δh:-0.45
35,15,2025-09-18 15:35:00,3.2,1.75,2.0,2.45455,-0.0909091,3,0.599444,🌱 Adaptiv,K:3.20 S:1.75 A:2.00 h:2.45 Δh:-0.09
36,10,2025-09-18 15:35:00,1.2,1.25,1.0,1.18182,-0.0909091,1,0.988333,🌱 Adaptiv (resilient),K:1.20 S:1.25 A:1.00 h:1.18 Δh:-0.09
37,17,2025-09-18 17:10:00,2.4,1.0,1.5,1.72727,0.0909091,2,0.664444,🌱 Adaptiv,K:2.40 S:1.00 A:1.50 h:1.73 Δh:0.09
38,19,2025-09-18 17:10:00,2.6,2.25,2.5,2.45455,0.0,3,0.978333,⚖️ Homöostatisch (resilient),K:2.60 S:2.25 A:2.50 h:2.45 Δh:0.00
39,6,2025-09-19 15:35:00,2.8,3.0,2.5,2.81818,0.727273,3,0.957778,⚡ Perturbativ,K:2.80 S:3.00 A:2.50 h:2.82 Δh:0.73
40,20,2025-09-19 15:35:00,1.8,1.25,2.0,1.63636,-0.0909091,2,0.899444,🌱 Adaptiv (resilient),K:1.80 S:1.25 A:2.00 h:1.64 Δh:-0.09
41,11,2025-09-19 15:35:00,2.4,2.25,2.0,2.27273,0.545455,3,0.972778,⚡ Perturbativ,K:2.40 S:2.25 A:2.00 h:2.27 Δh:0.55
42,24,2025-09-19 15:35:00,2.4,1.25,2.0,1.90909,0.0,2,0.772778,⚖️ Homöostatisch,K:2.40 S:1.25 A:2.00 h:1.91 Δh:0.00
43,4,2025-09-19 15:35:00,3.2,2.75,3.0,3.0,0.0,3,0.966111,⚖️ Homöostatisch (resilient),K:3.20 S:2.75 A:3.00 h:3.00 Δh:0.00
44,2,2025-09-22 15:35:00,2.2,1.75,1.5,1.90909,0.363636,2,0.916111,🌊 Transformativ,K:2.20 S:1.75 A:1.50 h:1.91 Δh:0.36
45,16,2025-09-22 17:10:00,2.0,1.25,2.0,1.72727,-0.363636,2,0.875,🌊 Transformativ,K:2.00 S:1.25 A:2.00 h:1.73 Δh:-0.36
46,13,2025-09-22 17:10:00,1.2,1.75,1.5,1.45455,-0.545455,1,0.949444,⚡ Perturbativ,K:1.20 S:1.75 A:1.50 h:1.45 Δh:-0.55
47,21,2025-09-22 17:10:00,1.6,1.25,1.0,1.36364,-0.272727,1,0.939444,🔄 Koordinativ,K:1.60 S:1.25 A:1.00 h:1.36 Δh:-0.27
48,20,2025-09-22 17:10:00,2.0,1.25,2.0,1.72727,0.0909091,2,0.875,🌱 Adaptiv (resilient),K:2.00 S:1.25 A:2.00 h:1.73 Δh:0.09
49,23,2025-09-22 17:10:00,2.0,1.75,2.0,1.90909,-0.0909091,2,0.986111,🌱 Adaptiv (resilient),K:2.00 S:1.75 A:2.00 h:1.91 Δh:-0.09
50,16,2025-09-23 15:35:00,1.0,1.0,1.0,1.0,-0.727273,1,1.0,⚡ Perturbativ,K:1.00 S:1.00 A:1.00 h:1.00 Δh:-0.73
51,9,2025-09-23 17:10:00,2.6,1.5,3.0,2.27273,0.909091,3,0.597778,💥 Kollapsiv,K:2.60 S:1.50 A:3.00 h:2.27 Δh:0.91
52,8,2025-09-23 17:10:00,3.0,2.5,3.5,2.90909,0.181818,3,0.833333,🔄 Koordinativ,K:3.00 S:2.50 A:3.50 h:2.91 Δh:0.18
53,24,2025-09-23 17:10:00,1.8,1.25,1.5,1.54545,-0.363636,2,0.949444,🌊 Transformativ,K:1.80 S:1.25 A:1.50 h:1.55 Δh:-0.36
54,10,2025-09-24 15:35:00,1.0,1.0,1.5,1.09091,-0.0909091,1,0.944444,🌱 Adaptiv (resilient),K:1.00 S:1.00 A:1.50 h:1.09 Δh:-0.09
55,6,2025-09-24 15:35:00,2.0,2.0,2.0,2.0,-0.818182,2,1.0,💥 Kollapsiv,K:2.00 S:2.00 A:2.00 h:2.00 Δh:-0.82
56,4,2025-09-24 15:35:00,3.0,2.5,1.5,2.54545,-0.454545,3,0.611111,🌊 Transformativ,K:3.00 S:2.50 A:1.50 h:2.55 Δh:-0.45
57,7,2025-09-24 17:10:00,2.0,2.0,2.0,2.0,-0.0909091,2,1.0,🌱 Adaptiv (resilient),K:2.00 S:2.00 A:2.00 h:2.00 Δh:-0.09
58,14,2025-09-24 17:10:00,1.4,1.0,1.0,1.18182,-0.272727,1,0.964444,🔄 Koordinativ,K:1.40 S:1.00 A:1.00 h:1.18 Δh:-0.27
59,22,2025-09-24 17:10:00,2.8,1.5,3.0,2.36364,0.454545,3,0.557778,🌊 Transformativ,K:2.80 S:1.50 A:3.00 h:2.36 Δh:0.45
60,13,2025-09-24 17:10:00,2.0,2.0,1.5,1.90909,0.454545,2,0.944444,🌊 Transformativ,K:2.00 S:2.00 A:1.50 h:1.91 Δh:0.45
61,9,2025-09-25 15:35:00,2.8,1.66667,2.0,2.33333,0.0606061,3,0.773827,🌱 Adaptiv,K:2.80 S:1.67 A:2.00 h:2.33 Δh:0.06
62,15,2025-09-25 15:35:00,2.4,1.0,1.5,1.72727,-0.727273,2,0.664444,⚡ Perturbativ,K:2.40 S:1.00 A:1.50 h:1.73 Δh:-0.73
63,10,2025-09-25 15:35:00,1.4,1.0,1.0,1.18182,0.0909091,1,0.964444,🌱 Adaptiv (resilient),K:1.40 S:1.00 A:1.00 h:1.18 Δh:0.09
64,18,2025-09-25 17:10:00,1.2,1.75,1.5,1.45455,-0.0909091,1,0.949444,🌱 Adaptiv (resilient),K:1.20 S:1.75 A:1.50 h:1.45 Δh:-0.09
65,16,2025-09-25 17:10:00,1.4,1.0,1.0,1.18182,0.181818,1,0.964444,🔄 Koordinativ,K:1.40 S:1.00 A:1.00 h:1.18 Δh:0.18
66,19,2025-09-25 17:10:00,1.8,2.0,1.5,1.81818,-0.636364,2,0.957778,⚡ Perturbativ,K:1.80 S:2.00 A:1.50 h:1.82 Δh:-0.64
67,17,2025-09-25 17:10:00,3.2,1.5,3.0,2.54545,0.818182,3,0.424444,💥 Kollapsiv,K:3.20 S:1.50 A:3.00 h:2.55 Δh:0.82
68,4,2025-09-26 15:35:00,2.8,2.5,2.5,2.63636,0.0909091,3,0.98,🌱 Adaptiv (resilient),K:2.80 S:2.50 A:2.50 h:2.64 Δh:0.09
69,20,2025-09-26 15:35:00,1.8,1.25,2.0,1.63636,-0.0909091,2,0.899444,🌱 Adaptiv (resilient),K:1.80 S:1.25 A:2.00 h:1.64 Δh:-0.09
70,24,2025-09-26 17:30:26,1.4,1.5,1.5,1.45455,-0.0909091,1,0.997778,🌱 Adaptiv (resilient),K:1.40 S:1.50 A:1.50 h:1.45 Δh:-0.09
71,2,2025-09-29 15:35:00,2.4,2.0,2.0,2.18182,0.272727,2,0.964444,🔄 Koordinativ,K:2.40 S:2.00 A:2.00 h:2.18 Δh:0.27
72,21,2025-09-29 17:10:00,1.8,1.25,1.5,1.54545,0.181818,2,0.949444,🔄 Koordinativ,K:1.80 S:1.25 A:1.50 h:1.55 Δh:0.18
