gruppe_id,n,risiko_mean,risiko_max,drift_mean,varianzlast_mean,dominanzwechsel_sum,hoch_count,latent_count
0,16,-0.2080643777112159,0.9099072737087102,0.1337180921154248,0.006774873646507841,5,1,1
1,28,0.20055319209467526,2.8444394562997384,0.187187991101703,0.014348668476841717,13,6,4
2,27,-0.056621553048662766,1.3054403701781865,0.12181344940823212,0.016736603492915142,6,3,8
3,19,0.20031994669238315,2.7869696449661485,0.17258019340083797,0.02021094957363992,2,4,4
4,26,0.013619705196369227,2.1610529113011125,0.1482514423293488,0.015751954946964443,5,3,4
5,13,0.003691527997056615,1.0659169279192406,0.1446104488096445,0.018015775049841833,4,2,2
6,18,0.011106818167506928,2.394670567119374,0.1515210658917484,0.013882194124897492,7,3,0
7,9,0.034258576809680114,0.9001240708910471,0.12613648771699937,0.015848971062016656,5,2,0
11,1,-0.7741085074824152,-0.7741085074824152,0.0,0.005222114503139043,0,0,0
