gruppe_id,datum,n_lehrkraft_records,satzanzahl_sum,semantische_breite,d_semantisch_mean,d_semantisch_std,polaritaet_index,dominanz_breite,mean_kognition,var_kognition,range_kognition,mean_sozial,var_sozial,range_sozial,mean_affektiv,var_affektiv,range_affektiv,mean_motivation,var_motivation,range_motivation,mean_methodik,var_methodik,range_methodik,mean_performanz,var_performanz,range_performanz,mean_regulation,var_regulation,range_regulation,varianzlast,dominante_dimension_calc,drift,dominanzwechsel,z_affektiv,kohaerenz,stabilitaet,dynamik,n_teilnehmer_records,tn_mean_kognition,tn_mean_sozial,tn_mean_affektiv,tn_mean_motivation,tn_mean_methodik,tn_mean_performanz,tn_mean_regulation,tn_d_semantisch_mean,emotion_valenz_mean,emotion_aktivierung_mean,emotion_anzahl_mean,tn_polaritaet_mean,tn_dominanz_breite,polaritaet_negativ,kohaerenzverlust,instabilitaet_group,risiko_score,risiko_klasse
0,2025-09-02,1,3,0.2604949755294218,2.804232950146233,0.3265262952635309,1.00000000,3.0000,0.5198702902734634,0.004158798803055524,0.15768795139167002,0.11580849557311566,0.010106372584084889,0.21527665459187298,0.16383389968415898,0.021869308261469808,0.339948327096933,0.35577727767868333,0.0010585585337061195,0.0766709643529,0.4587362695092733,0.005920999143414137,0.18754498303585004,0.4184552491540667,0.0017068004713038088,0.09232566410429,0.33090122986652665,0.023036794479039766,0.35100300466683,0.00969394746801058,kognition,0.0,0,,,,,,,,,,,,,,,,,,,-1.0,,0.0,-0.7172296506534236,niedrig
0,2025-09-04,1,5,0.18241767778710863,3.7818685070429594,0.7488015766184756,1.00000000,3.0000,0.4931462911382719,0.010637123482820279,0.27474436028337,0.0581601917168986,0.0011517658914531736,0.093471286468145,0.132044904290417,0.003948729615592252,0.181982375248988,0.36195457965336597,0.006800194650716689,0.21454260935942,0.42754282868598203,0.001840396892028616,0.10901046063771996,0.46816248950349604,0.0024555528837397872,0.13755953165884993,0.41197870789434,0.006442445752890595,0.23100519522092,0.004753744167034483,kognition,0.12289668950793137,0,,,,,,,,,,,,,,,,,,,-1.0,,0.0,-0.22844108614112116,niedrig
0,2025-09-08,1,5,0.20013180466810498,3.8679623187760597,0.5578754120708701,1.00000000,2.0000,0.53755054528027,0.003532687402265483,0.16273827491405002,0.11189025316379679,0.008100432101060314,0.22697392070818798,0.217988752583757,0.009453461359003254,0.272455225231305,0.35772604850251194,0.0010614668322540322,0.09591991706995001,0.420790908947908,0.0016852454033915512,0.11881619031052004,0.44652176693077,0.003392166005379433,0.13732687044264996,0.32638667110672803,0.012827280136358466,0.34516927984463,0.005721819891387504,kognition,0.14178430406511153,0,,,,,,,,,,,,,,,,,,,-1.0,,0.0,-0.29537986603027677,niedrig
0,2025-09-22,1,5,0.24132627140999047,3.4082179349508204,0.6426053134017989,1.00000000,1.0000,0.6024910272558559,0.0070458825382580925,0.25682957219153996,0.08015600523148639,0.008427738415021287,0.244309260725474,0.154858166949335,0.012617605677316124,0.307712571091728,0.306731384340322,0.007473592198532672,0.26859808488346004,0.42749180922471197,0.0016552630387153058,0.10279205413531001,0.412341238227964,0.0023776782092203457,0.10848543781126996,0.3185834139516558,0.018640609195584558,0.38424343261843097,0.00831976703894977,kognition,0.11438687309198366,0,,,,,,,,,,,,,,,,,,,-1.0,,0.0,-0.23720752651795043,niedrig
0,2025-10-22,1,5,0.24331682177249578,3.2909833178659,0.8943714121001323,1.00000000,2.0000,0.47933370691151406,0.003740671355722816,0.14641899051861007,0.1306768429200038,0.025184912540803055,0.41675861150909,0.25000105295978,0.010545472431804983,0.25240956472247,0.41762897574535407,0.008944440594734893,0.24792150963475995,0.373071614964008,0.004114921641559849,0.16942730780425003,0.41845856583989194,0.0004943464060598054,0.06043764869352003,0.37782083045836795,0.006178310786783077,0.24043246002036,0.008457582251066924,kognition,0.2134913953485162,0,,,,,,,,,,,,,,,,,,,-1.0,,0.0,0.19240077426134675,latent
0,2025-10-23,2,7,0.17338010483056898,2.866200755153119,0.6508789037485574,1.00000000,2.0000,0.4847346451268787,0.005636508239341392,0.17922995865508,0.12802354738219412,0.00804780222318667,0.21726678368079,0.12155217933456976,0.0068509604705390345,0.21584571530339852,0.37554104738252503,0.0026922395089648255,0.11955021982059502,0.4072532521781892,0.0009736901042103286,0.07065495139625,0.4314611718909471,0.0025334455274754145,0.11738542849903497,0.4560643921334737,0.0033869927321404708,0.13791025815433,0.004303091257979734,kognition,0.1605186094838973,0,,,,,,,,,,,,,,,,,,,-1.0,,0.0,-0.22076353384139788,niedrig
0,2025-10-27,1,4,0.20490529758079992,3.308728107182125,0.5045920202223814,1.00000000,2.0000,0.425359674082515,0.0031695076576994195,0.15627654703417004,0.14553729081186925,0.016954475873700026,0.329861193623413,0.088090482918949,0.008126946281168841,0.21159071703145102,0.40980717851238996,0.0022110156538516796,0.12416482897743003,0.42193316878278997,0.000520273393292072,0.053836222303009995,0.45990664153873245,0.006655251525849806,0.22713116955763996,0.4366372894490125,0.004348710591114334,0.15813701076034004,0.005998025853810882,performanz,0.08676421081744183,1,,,,,,,,,,,,,,,,,,,-1.0,,0.0,-0.36185420374335087,niedrig
0,2025-11-05,1,4,0.28225085634350483,2.324686969017625,0.2713967813766045,1.00000000,3.0000,0.48972564958730747,0.011508344562395655,0.29498221722963,0.1391651598578075,0.022089996544303433,0.36570586890726603,0.16368744133094398,0.018308606004373777,0.378578070263064,0.393731452973655,0.008963186733798822,0.2374229295872,0.3854943615131925,0.004600566532532729,0.18106887332984,0.46216459202426,0.007374123991848141,0.21637276620209994,0.34220975987651003,0.006820721537389251,0.19707388154828004,0.011380792272377399,kognition,0.14285081478631012,1,,,,,,,,,,,,,,,,,,,-1.0,,0.0,-0.27168407359295477,niedrig
0,2025-11-27,1,5,0.1577482099623566,2.77562037513024,0.9822547008582001,1.00000000,1.0000,0.5735121294521239,0.0020344051728234994,0.13475795981068994,0.07308565341161419,0.0016679563983208,0.11174275425682499,0.132633206582848,0.005053431452628455,0.17955771119041203,0.30353942935412603,0.005376427492909035,0.19259930096470002,0.45248861268359,0.0012642703040779296,0.09560874007038,0.430033047593054,0.0011811453996132095,0.09420772624763002,0.37609425594757406,0.008306861525954817,0.25444213384127,0.003554928249475392,kognition,0.16478612475597618,0,,,,,,,,,,,,,,,,,,,-1.0,,0.0,0.009266933147129452,niedrig
0,2025-11-28,1,4,0.20978979786101032,2.9580383582261254,0.7705269928754048,1.00000000,2.0000,0.530450611703645,0.00694412109945003,0.21864777146631997,0.10231083329089495,0.005049663903868856,0.19213597184956918,0.16249246944896073,0.005155632518702143,0.18703921032451698,0.3308020979266275,0.009927453795856429,0.23968152455145,0.4269747970144125,0.0038596904749007184,0.16211678557811998,0.4187042439971,0.005743301088727888,0.21287393590713,0.413135711833295,0.007331896405057503,0.23651148087576995,0.006287394183794795,kognition,0.0805890821478371,0,,,,,,,,,,,,,,,,,,,-1.0,,0.0,-0.2755283836759431,niedrig
0,2025-12-01,1,5,0.22273263422165962,3.5587927262535204,0.3368313891777808,1.00000000,3.0000,0.5420488343507561,0.008046047615744418,0.22746257627496003,0.07211877688807339,0.022058982352813283,0.45724110457247,0.11227833272859959,0.00624556139400465,0.216301982380422,0.315304880335188,0.00673868286376054,0.22193930919336,0.45712043388845,0.0008609336363812716,0.08058619660776001,0.42525664639783,0.0005583324261287132,0.07157164723133003,0.386704727358252,0.005101286058486752,0.19494573181832003,0.007087118049617089,kognition,0.0738782285800969,0,,,,,,,,,,,,,,,,,,,-1.0,,0.0,-0.5886561344254608,niedrig
0,2025-12-02,1,5,0.20463162313121475,3.5448954120949003,0.7545067367194604,1.00000000,3.0000,0.48616172744117403,0.004978158766982429,0.19012935377625995,0.0814235141560778,0.005811362698448046,0.210089502321361,0.1428191930273556,0.014867476033295463,0.331798936416563,0.36803587042272196,0.0031311639536502635,0.14174787850268,0.438528811504528,0.0004919621399081238,0.06791861878965,0.456305087138256,0.003763000641441134,0.16705826179023003,0.39845625577253,0.008830976951590047,0.23575578971224997,0.005982014455045072,kognition,0.09149317369672484,0,,,,,,,,,,,,,,,,,,,-1.0,,0.0,-0.2683046713987519,niedrig
0,2025-12-04,1,5,0.13316888969388263,4.030094807275581,0.5143498982918444,1.00000000,2.0000,0.438455258638822,0.004044921771755934,0.18916012964778,0.1357452441898024,0.006353138939231462,0.18601740658591198,0.12162813556643699,0.0017878979208275393,0.10208261666171,0.408342901672276,0.0012170544172636656,0.09949584341619,0.41849110226335196,0.002376706686272371,0.13644559613448998,0.48142878197847594,0.0010246245432850634,0.08520592451964998,0.42795491967827604,0.0009296089036654433,0.09197378607954998,0.0025334218831859255,performanz,0.09593412432598575,1,,,,,,,,,,,,,,,,,,,-1.0,,0.0,-0.4346151218926484,niedrig
