lag;n_pairs;n_permutations;real_cosine_mean;null_cosine_mean;null_p95;null_p99;z_score;p_value_right_tail
0;272;1000;0.6498323885443915;0.65252592007955;0.6563924807404542;0.658487124179115;-1.268967849477248;0.9270729270729271
1;245;1000;0.6630959701653213;0.664356235699699;0.6683325121608327;0.6719606223196626;-0.5604239229272128;0.7002997002997003
2;219;1000;0.6682957562170377;0.6700256316284416;0.6749794953262764;0.6787253973466837;-0.6623125642621028;0.7432567432567433
3;195;1000;0.663319041585293;0.6641094610604372;0.6698979765382478;0.673617407411265;-0.26660318722452697;0.5464535464535465
