teacher_dominante_dimension,kognition,sozial,affektiv,motivation,methodik,performanz,regulation
kognition,0.185,0.20625,0.06625,0.00125,0.47125,0.05375,0.01625
sozial,0.0,0.0,0.0,0.0,0.0,0.0,0.0
affektiv,0.0,0.0,0.0,0.0,0.0,0.0,0.0
motivation,0.5625,0.0625,0.3125,0.0,0.0625,0.0,0.0
methodik,0.0,0.0,0.0,0.0,0.0,0.0,0.0
performanz,0.1511111111111111,0.21333333333333335,0.06666666666666667,0.0044444444444444444,0.48444444444444446,0.06666666666666667,0.013333333333333334
regulation,0.1566265060240964,0.14457831325301204,0.10843373493975904,0.0,0.46987951807228917,0.0963855421686747,0.024096385542168676
