lag,n,dominanz_match_rate,polaritaet_match_rate
0,323,0.15170278637770898,0.9566563467492261
1,295,0.16271186440677965,0.9796610169491525
2,266,0.12030075187969924,0.9699248120300752
3,240,0.15,0.9666666666666667
