teacher_dominante_dimension,kognition,sozial,affektiv,motivation,methodik,performanz,regulation
kognition,0.15510204081632653,0.2193877551020408,0.07346938775510205,0.0010204081632653062,0.4897959183673469,0.044897959183673466,0.0163265306122449
sozial,0.0,0.0,0.0,0.0,0.0,0.0,0.0
affektiv,0.0,0.0,0.0,0.0,0.0,0.0,0.0
motivation,0.5625,0.0625,0.3125,0.0,0.0625,0.0,0.0
methodik,0.0,0.0,0.0,0.0,0.0,0.0,0.0
performanz,0.13074204946996468,0.2332155477031802,0.07773851590106007,0.0035335689045936395,0.4911660777385159,0.053003533568904596,0.01060070671378092
regulation,0.13725490196078433,0.17647058823529413,0.09803921568627451,0.0,0.49019607843137253,0.0784313725490196,0.0196078431372549
