gruppe,n,cos_mean,cos_min,cos_max,dist_mean
lehrkraft_1,282,0.943402423150791,-0.268222067692908,0.9973895909319291,1.1905647232126335
alle,282,0.943402423150791,-0.268222067692908,0.9973895909319291,1.1905647232126335
