pc1,pc2,dominante_dimension
-0.019846367049132885,-0.01404364427846441,performanz
-0.030005758378637934,0.025632786155491492,methodik
-0.07962030414320459,0.07055440316117631,regulation
-0.015351517813904963,-0.015182628789356481,performanz
0.1084563537785054,-0.10799947735912882,kognition
-0.019362283538814102,0.022861920188299835,kognition
0.0361991272141879,0.022524742185997843,kognition
0.060435139584658765,-0.13284875900086507,performanz
-0.041976986660425916,0.004064918274777347,kognition
-0.04614809244492599,0.05302860445387284,kognition
0.052583682297088596,-0.08200734968191485,performanz
0.03264299866664952,-0.014470539058211098,kognition
0.03264299866664952,-0.014470539058211098,kognition
-0.11469925182540083,0.12275994705630805,regulation
0.07136352678338408,-0.08563444693914259,kognition
-0.021653225247577557,0.03311995628339028,kognition
-0.029846819868092112,0.04337830548211476,performanz
0.0025501810880655036,-0.03771226011461109,performanz
0.14918453658031544,-0.08377417217387823,kognition
0.0025501810880655036,-0.03771226011461109,performanz
-0.049800361994107555,0.04905584552855316,kognition
-0.01886650378567854,0.01781409665923636,performanz
-0.05421723024999356,0.052372892030219394,methodik
0.050758311662274555,-0.0933641203095778,performanz
-0.01310490093349228,0.012237066355627022,kognition
0.0609920303939074,-0.08603039504427082,kognition
-0.10817993761014488,0.08724158860437863,kognition
-0.06390132022814494,0.043304577959026876,motivation
-0.03206748259466603,0.013732560772140091,kognition
0.05982026178842603,-0.03805722689689735,kognition
0.04042018856909914,0.028922150548997553,kognition
-0.07435991199152674,0.048636134826759506,performanz
0.042224719753305946,-0.052634832143395295,regulation
-0.06946642802857972,0.07541878848446436,kognition
0.000947704673876523,0.004550969051376344,kognition
0.16108788090626944,-0.14672733606117752,kognition
0.029619897453446137,-0.05062612152290151,performanz
0.12168606028724727,-0.028194649579111372,regulation
0.0070389001411267785,-0.046548285628837886,performanz
-0.015796014290998237,-0.01624287637299167,kognition
0.01693678153614983,-0.04144521374208114,performanz
0.04463137348663683,-0.06084588166294705,regulation
-0.057117830895639106,0.05061634515980298,kognition
-0.0636613566542714,0.04679008519034641,kognition
-0.10565937704821615,0.11300947201248358,performanz
-0.05105164493978352,0.046247442137587746,kognition
-0.1154110741446994,0.10443833314263568,performanz
0.1480478779147342,-0.147031603954173,kognition
0.15641655711995742,-0.10787591033031765,kognition
0.02001730783715703,-0.08891941506172937,kognition
0.1618935542810293,-0.18265688156242177,kognition
-0.029151318198680342,-0.0005192818690828161,performanz
0.11581080066975857,-0.13625486156948446,methodik
0.041333087958135915,-0.08103036015565292,kognition
-0.007481508683191858,0.04762045474421573,kognition
-0.005941527161445162,-0.02786744702937228,performanz
0.028463697333177475,-0.039091047358122875,kognition
0.026707788143698976,-0.04418050460816485,performanz
0.0445355480939568,0.00434564028689744,kognition
-0.06494951589781303,0.019526825097362914,performanz
0.07893186285135734,-0.07414056920636433,kognition
-0.06328100447643344,0.03785604355542433,performanz
-0.04535229270433892,0.014616591904294401,motivation
0.07759706480695856,-0.05629490603823544,kognition
0.0033373925847784923,0.002295573769934744,kognition
0.0012374725515665868,-0.017545180460525996,regulation
-0.1305277315768314,0.1284219745214733,motivation
0.07011146383591291,-0.07304433728989634,regulation
