,kognition,methodik,motivation,performanz,regulation,sozial
kognition,0.4300341296928328,0.027303754266211604,0.04778156996587031,0.33447098976109213,0.15699658703071673,0.0034129692832764505
methodik,0.32,0.08,0.0,0.36,0.24,0.0
motivation,0.41304347826086957,0.043478260869565216,0.13043478260869565,0.2608695652173913,0.13043478260869565,0.021739130434782608
performanz,0.4212962962962963,0.037037037037037035,0.06944444444444445,0.32407407407407407,0.14814814814814814,0.0
regulation,0.45871559633027525,0.01834862385321101,0.07339449541284404,0.27522935779816515,0.1651376146788991,0.009174311926605505
sozial,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0
