teilnehmer_feedback_id,teilnehmer_id,gruppe_id,erfasst_am,lehrkraft_varianz_mean,semantische_breite,d_semantisch_std,teilnehmer_drift,emotion_ambivalenz,uebergangsindex,bemerkungen
50,4,9,2025-09-19 15:35:00,0.12679628637062973,0.9421114608125772,0.9441013243131257,,0.5,2.8254693465118654,
9,5,4,2025-09-09 17:10:00,0.0925989131543282,0.8051039635229088,0.7382033150934891,,0.5,2.149609376948536,
234,45,4,2025-11-25 17:10:00,0.12683632443361012,0.9422601928529459,0.8006956538905027,,0.0,1.872591831978434,
139,9,4,2025-10-28 17:10:00,0.11013243173871735,0.8780244997555714,0.5442720385122358,3.4641016151377544,0.5,1.8108524354320845,
204,5,6,2025-11-12 17:10:00,0.09642197659879356,0.8215557413782433,0.8298583482237875,6.928203230275509,0.0625,1.6828290626041866,
19,15,7,2025-09-11 15:35:00,0.08773450682203442,0.7836718367749609,0.6125445576019659,,0.25,1.5519779802037232,
136,23,2,2025-10-27 17:10:00,0.13487332978717875,0.9716549328389432,0.9714602156155754,1.7320508075688772,0.0,1.5371261636039564,
12,7,6,2025-09-10 17:10:00,0.08809085454642455,0.7852617282314044,0.38543721409633996,,0.3333333333333333,1.4897551478672735,
326,11,5,2026-01-21 15:35:00,0.08658671659843487,0.7785287510355954,0.8503068105886249,2.23606797749979,0.4,1.4822190510652897,
20,10,7,2025-09-11 15:35:00,0.08042042487807208,0.7502952579794867,0.6714613716618812,,0.2222222222222222,1.4492393731983941,
149,9,7,2025-10-30 15:35:00,0.08399570483733797,0.7667919756109643,0.9263388825968919,4.898979485566356,0.11764705882352941,1.4423368013332145,
237,5,4,2025-11-25 17:10:00,0.10556577499210337,0.8596280736136551,0.7132392406078167,4.69041575982343,0.0,1.3632197383168003,
217,2,1,2025-11-17 15:35:00,0.08806639173429583,0.7851526871507674,0.5609655109623757,3.3166247903554,0.3333333333333333,1.3284240836098813,
144,11,5,2025-10-29 15:35:00,0.013794478419082875,0.31074322025360446,1.3952746193896033,4.123105625617661,0.5,1.2086721004496197,
88,24,4,2025-09-30 17:10:00,0.12258443913820496,0.9263320538378421,0.39182584018332894,3.4641016151377544,0.0,1.1827066989430794,
